topic,level,days_spent,next_topic
string,hard,6,sorting
tree,easy,1,graph theory
binary tree,medium,4,depth-first search
monotonic stack,easy,1,sliding window
dynamic programming,hard,6,memoization
sliding window,hard,6,two pointers
matrix,medium,4,simulation
backtracking,hard,7,recursion
backtracking,medium,4,recursion
shortest path,medium,4,graph theory
rolling hash,medium,4,suffix array
bitmask,medium,5,backtracking
binary tree,medium,3,depth-first search
two pointers,easy,1,array
binary search,medium,5,tree
math,easy,1,number theory
combinatorics,medium,4,probability
probability,medium,3,statistics
bitmask,medium,5,backtracking
binary search,medium,5,tree
system design,medium,3,concurrency
math,easy,2,number theory
monotonic stack,medium,3,sliding window
shortest path,easy,2,graph theory
segment tree,hard,6,binary indexed tree
combinatorics,hard,6,probability
matrix,hard,6,simulation
divide and conquer,medium,3,segment tree
design,medium,4,system design
system design,hard,6,concurrency
shortest path,medium,3,graph theory
recursion,medium,3,divide and conquer
concurrency,medium,4,design
monotonic stack,hard,6,sliding window
segment tree,easy,1,binary indexed tree
combinatorics,easy,2,probability
string matching,easy,1,rolling hash
probability,hard,6,statistics
shortest path,hard,6,graph theory
breadth-first search,easy,1,graph theory
two pointers,hard,7,array
probability,medium,5,statistics
binary indexed tree,hard,7,range query
sliding window,medium,5,two pointers
string matching,medium,5,rolling hash
trie,easy,1,string matching
divide and conquer,hard,6,segment tree
string,easy,2,sorting
probability,hard,6,statistics
binary indexed tree,easy,2,range query
system design,hard,6,concurrency
two pointers,easy,2,array
binary tree,easy,1,depth-first search
system design,easy,1,concurrency
breadth-first search,easy,1,graph theory
matrix,medium,3,simulation
backtracking,hard,7,recursion
breadth-first search,easy,1,graph theory
recursion,medium,3,divide and conquer
greedy,easy,1,dynamic programming
sliding window,hard,7,two pointers
sorting,hard,7,greedy
concurrency,hard,6,design
rolling hash,medium,3,suffix array
greedy,easy,2,dynamic programming
backtracking,medium,5,recursion
binary search,easy,1,tree
concurrency,medium,4,design
binary search,easy,1,graph theory
stack,medium,5,monotonic stack
sliding window,easy,2,two pointers
divide and conquer,hard,7,segment tree
breadth-first search,easy,1,graph theory
number theory,hard,7,combinatorics
combinatorics,easy,1,probability
segment tree,easy,1,binary indexed tree
breadth-first search,easy,1,graph theory
depth-first search,easy,2,breadth-first search
array,hard,6,string
recursion,hard,7,divide and conquer
sliding window,easy,2,two pointers
design,hard,6,system design
two pointers,hard,6,array
math,hard,7,number theory
recursion,medium,5,divide and conquer
probability,hard,7,statistics
simulation,easy,1,design
matrix,easy,1,simulation
monotonic stack,easy,1,sliding window
matrix,medium,3,simulation
dynamic programming,hard,7,bitmask
greedy,medium,3,dynamic programming
monotonic stack,medium,4,sliding window
design,easy,1,system design
bitmask,medium,4,backtracking
trie,easy,2,string matching
matrix,easy,2,simulation
segment tree,hard,6,binary indexed tree
string matching,hard,6,rolling hash
array,hard,7,string
sliding window,hard,7,two pointers
trie,easy,2,string matching
rolling hash,medium,5,suffix array
dynamic programming,medium,3,bitmask
binary search,hard,7,graph theory
matrix,medium,4,simulation
breadth-first search,medium,3,graph theory
breadth-first search,easy,1,graph theory
simulation,medium,4,design
concurrency,hard,7,design
linked list,easy,1,doubly-linked list
sorting,medium,3,binary search
math,hard,7,number theory
recursion,hard,6,divide and conquer
depth-first search,medium,4,breadth-first search
recursion,easy,2,divide and conquer
string,hard,6,hash table
binary tree,medium,4,depth-first search
system design,medium,3,concurrency
string,medium,5,sorting
combinatorics,medium,4,probability
rolling hash,hard,7,suffix array
binary search,easy,1,tree
binary indexed tree,medium,4,range query
binary indexed tree,hard,6,range query
sorting,medium,4,greedy
matrix,medium,3,simulation
backtracking,medium,5,recursion
probability,medium,4,statistics
monotonic stack,easy,1,sliding window
binary tree,easy,2,depth-first search
number theory,medium,5,combinatorics
array,medium,4,hash table
concurrency,medium,3,design
binary indexed tree,medium,4,range query
design,medium,4,system design
dynamic programming,medium,4,bitmask
hash table,medium,4,graph theory
simulation,medium,3,design
divide and conquer,easy,2,segment tree
monotonic stack,easy,1,sliding window
combinatorics,easy,2,probability
linked list,hard,6,doubly-linked list
sliding window,medium,3,two pointers
number theory,easy,1,combinatorics
string matching,easy,1,rolling hash
graph theory,medium,4,minimum spanning tree
binary search,medium,4,tree
system design,medium,5,concurrency
divide and conquer,medium,4,segment tree
combinatorics,medium,4,probability
array,hard,7,hash table
binary indexed tree,medium,4,range query
array,easy,1,hash table
rolling hash,hard,6,suffix array
math,easy,2,number theory
monotonic stack,hard,6,sliding window
rolling hash,hard,6,suffix array
dynamic programming,medium,3,memoization
probability,easy,1,statistics
two pointers,hard,6,array
probability,medium,5,statistics
probability,hard,6,statistics
sliding window,hard,6,two pointers
number theory,easy,2,combinatorics
string,medium,5,sorting
backtracking,hard,6,recursion
hash table,medium,5,graph theory
matrix,medium,4,simulation
string matching,medium,4,rolling hash
greedy,hard,7,dynamic programming
greedy,hard,7,dynamic programming
rolling hash,medium,4,suffix array
divide and conquer,hard,7,segment tree
stack,medium,5,monotonic stack
hash table,easy,2,tree
bitmask,medium,4,backtracking
concurrency,easy,2,design
matrix,hard,7,simulation
two pointers,hard,7,array
binary search,hard,6,graph theory
stack,medium,4,monotonic stack
trie,medium,5,string matching
divide and conquer,easy,2,segment tree
linked list,easy,1,doubly-linked list
dynamic programming,medium,4,memoization
linked list,medium,5,doubly-linked list
dynamic programming,medium,4,memoization
dynamic programming,hard,6,bitmask
recursion,medium,4,divide and conquer
math,easy,2,number theory
divide and conquer,hard,6,segment tree
recursion,hard,7,divide and conquer
backtracking,easy,1,recursion
graph theory,easy,2,shortest path
simulation,medium,3,design
greedy,medium,4,dynamic programming
bitmask,hard,7,backtracking
stack,easy,1,monotonic stack
sliding window,easy,2,two pointers
divide and conquer,medium,4,segment tree
math,medium,4,number theory
breadth-first search,hard,7,graph theory
recursion,easy,1,divide and conquer
segment tree,easy,2,binary indexed tree
depth-first search,medium,5,breadth-first search
number theory,easy,1,combinatorics
sliding window,medium,3,two pointers
tree,easy,2,binary tree
design,hard,6,system design
system design,medium,4,concurrency
bitmask,hard,7,backtracking
string matching,hard,7,rolling hash
trie,hard,7,string matching
binary tree,hard,7,depth-first search
sliding window,easy,2,two pointers
math,easy,1,number theory
system design,medium,3,concurrency
bitmask,medium,5,backtracking
two pointers,easy,2,array
simulation,easy,1,design
concurrency,medium,5,design
number theory,hard,7,combinatorics
binary search,medium,5,graph theory
sliding window,easy,2,two pointers
hash table,easy,1,tree
combinatorics,easy,2,probability
rolling hash,medium,4,suffix array
probability,medium,3,statistics
monotonic stack,medium,3,sliding window
binary indexed tree,hard,6,range query
recursion,medium,3,divide and conquer
graph theory,medium,4,shortest path
concurrency,medium,5,design
concurrency,medium,3,design
divide and conquer,hard,7,segment tree
recursion,hard,6,divide and conquer
depth-first search,hard,6,breadth-first search
math,easy,2,number theory
recursion,hard,7,divide and conquer
design,easy,1,system design
simulation,easy,2,design
rolling hash,hard,7,suffix array
graph theory,hard,7,shortest path
stack,medium,5,monotonic stack
linked list,medium,3,doubly-linked list
sorting,hard,6,greedy
concurrency,medium,5,design
math,medium,4,number theory
graph theory,hard,6,minimum spanning tree
simulation,medium,5,design
simulation,hard,6,design
number theory,medium,5,combinatorics
system design,medium,4,concurrency
linked list,hard,7,doubly-linked list
string matching,easy,2,rolling hash
hash table,hard,7,graph theory
segment tree,easy,2,binary indexed tree
hash table,easy,1,graph theory
math,medium,4,number theory
design,medium,3,system design
breadth-first search,easy,1,graph theory
linked list,easy,2,doubly-linked list
probability,hard,7,statistics
binary tree,medium,4,depth-first search
sorting,medium,3,greedy
linked list,hard,7,doubly-linked list
segment tree,easy,1,binary indexed tree
rolling hash,hard,6,suffix array
breadth-first search,medium,3,graph theory
string matching,easy,1,rolling hash
system design,medium,5,concurrency
backtracking,hard,7,recursion
array,medium,3,string
breadth-first search,medium,3,graph theory
breadth-first search,medium,4,graph theory
dynamic programming,easy,2,memoization
string,medium,5,hash table
math,medium,3,number theory
bitmask,hard,6,backtracking
breadth-first search,easy,2,graph theory
binary tree,hard,6,depth-first search
stack,medium,5,monotonic stack
divide and conquer,hard,7,segment tree
bitmask,medium,4,backtracking
segment tree,hard,6,binary indexed tree
string matching,medium,5,rolling hash
sliding window,medium,3,two pointers
trie,medium,5,string matching
math,medium,3,number theory
system design,medium,4,concurrency
binary indexed tree,easy,1,range query
design,medium,5,system design
system design,medium,3,concurrency
monotonic stack,medium,3,sliding window
array,hard,6,string
breadth-first search,hard,7,graph theory
divide and conquer,medium,5,segment tree
simulation,medium,3,design
matrix,hard,6,simulation
simulation,medium,3,design
binary search,hard,6,tree
depth-first search,hard,6,breadth-first search
two pointers,hard,6,array
hash table,medium,5,graph theory
bitmask,medium,4,backtracking
linked list,medium,4,doubly-linked list
bitmask,easy,2,backtracking
sliding window,hard,6,two pointers
greedy,hard,6,dynamic programming
simulation,easy,2,design
backtracking,easy,2,recursion
system design,hard,7,concurrency
string matching,hard,6,rolling hash
breadth-first search,medium,5,graph theory
string,hard,7,hash table
math,medium,4,number theory
monotonic stack,medium,3,sliding window
binary search,medium,5,tree
two pointers,easy,1,array
sorting,medium,4,binary search
trie,medium,5,string matching
array,medium,5,string
design,easy,1,system design
sliding window,medium,5,two pointers
backtracking,hard,6,recursion
string matching,hard,7,rolling hash
bitmask,easy,1,backtracking
two pointers,medium,5,array
combinatorics,medium,4,probability
segment tree,medium,5,binary indexed tree
math,hard,6,number theory
divide and conquer,easy,2,segment tree
hash table,medium,5,graph theory
hash table,medium,5,graph theory
bitmask,hard,7,backtracking
binary search,easy,1,graph theory
system design,medium,3,concurrency
sliding window,hard,6,two pointers
combinatorics,hard,7,probability
design,hard,7,system design
shortest path,medium,3,graph theory
number theory,medium,4,combinatorics
backtracking,hard,6,recursion
hash table,hard,6,tree
segment tree,hard,6,binary indexed tree
concurrency,medium,4,design
number theory,hard,6,combinatorics
probability,easy,1,statistics
design,medium,4,system design
backtracking,hard,6,recursion
binary search,medium,4,graph theory
backtracking,medium,5,recursion
backtracking,hard,6,recursion
graph theory,easy,1,minimum spanning tree
sorting,easy,2,greedy
binary tree,medium,3,depth-first search
system design,medium,4,concurrency
design,hard,7,system design
breadth-first search,medium,5,graph theory
math,medium,5,number theory
binary search,hard,7,tree
monotonic stack,hard,7,sliding window
probability,medium,3,statistics
rolling hash,medium,5,suffix array
shortest path,easy,1,graph theory
recursion,hard,6,divide and conquer
trie,easy,2,string matching
string matching,hard,6,rolling hash
sorting,medium,4,greedy
sorting,medium,3,greedy
math,easy,1,number theory
divide and conquer,medium,5,segment tree
greedy,hard,6,dynamic programming
breadth-first search,easy,1,graph theory
segment tree,medium,5,binary indexed tree
probability,medium,4,statistics
rolling hash,easy,1,suffix array
simulation,medium,3,design
simulation,medium,4,design
binary search,easy,1,tree
string,medium,5,hash table
concurrency,easy,1,design
rolling hash,medium,5,suffix array
design,hard,7,system design
segment tree,medium,5,binary indexed tree
combinatorics,easy,1,probability
breadth-first search,hard,6,graph theory
binary tree,medium,3,depth-first search
binary tree,medium,5,depth-first search
divide and conquer,hard,7,segment tree
backtracking,hard,7,recursion
simulation,easy,2,design
matrix,easy,2,simulation
concurrency,easy,1,design
concurrency,medium,5,design
rolling hash,easy,2,suffix array
depth-first search,medium,4,breadth-first search
greedy,medium,5,dynamic programming
trie,medium,5,string matching
divide and conquer,easy,1,segment tree
bitmask,hard,7,backtracking
combinatorics,easy,1,probability
stack,easy,2,monotonic stack
shortest path,medium,3,graph theory
concurrency,hard,6,design
linked list,medium,4,doubly-linked list
stack,easy,1,monotonic stack
array,hard,6,string
binary tree,easy,2,depth-first search
concurrency,hard,6,design
tree,medium,3,graph theory
dynamic programming,hard,7,memoization
segment tree,medium,4,binary indexed tree
rolling hash,easy,2,suffix array
trie,easy,1,string matching
breadth-first search,easy,1,graph theory
string matching,medium,5,rolling hash
two pointers,medium,5,array
string,hard,6,hash table
binary tree,easy,2,depth-first search
recursion,easy,1,divide and conquer
divide and conquer,medium,3,segment tree
binary indexed tree,medium,5,range query
matrix,hard,7,simulation
graph theory,medium,5,shortest path
two pointers,medium,5,array
array,hard,7,string
system design,medium,3,concurrency
depth-first search,medium,4,breadth-first search
backtracking,medium,3,recursion
greedy,medium,3,dynamic programming
sliding window,easy,2,two pointers
concurrency,hard,7,design
bitmask,easy,1,backtracking
stack,easy,1,monotonic stack
binary indexed tree,hard,7,range query
binary indexed tree,hard,7,range query
depth-first search,medium,4,breadth-first search
backtracking,easy,2,recursion
shortest path,easy,2,graph theory
number theory,medium,4,combinatorics
matrix,easy,1,simulation
binary search,easy,1,tree
probability,medium,5,statistics
number theory,medium,5,combinatorics
concurrency,easy,1,design
greedy,easy,2,dynamic programming
shortest path,easy,1,graph theory
combinatorics,easy,1,probability
backtracking,medium,4,recursion
binary search,easy,1,graph theory
two pointers,medium,4,array
recursion,medium,4,divide and conquer
recursion,hard,7,divide and conquer
combinatorics,medium,3,probability
graph theory,medium,5,shortest path
dynamic programming,hard,6,memoization
sliding window,hard,7,two pointers
dynamic programming,easy,1,bitmask
concurrency,medium,5,design
linked list,easy,1,doubly-linked list
divide and conquer,medium,5,segment tree
shortest path,medium,3,graph theory
rolling hash,medium,4,suffix array
divide and conquer,medium,4,segment tree
sliding window,hard,6,two pointers
combinatorics,medium,3,probability
array,easy,1,string
breadth-first search,hard,6,graph theory
linked list,easy,1,doubly-linked list
concurrency,easy,2,design
sliding window,medium,3,two pointers
simulation,medium,5,design
segment tree,medium,3,binary indexed tree
breadth-first search,medium,4,graph theory
number theory,medium,4,combinatorics
concurrency,medium,5,design
binary search,easy,1,tree
sorting,medium,3,binary search
bitmask,easy,2,backtracking
hash table,easy,2,tree
two pointers,hard,6,array
string matching,medium,3,rolling hash
backtracking,hard,6,recursion
linked list,easy,2,doubly-linked list
binary tree,medium,4,depth-first search
recursion,easy,1,divide and conquer
linked list,hard,7,doubly-linked list
tree,easy,2,binary tree
two pointers,easy,2,array
monotonic stack,medium,3,sliding window
linked list,medium,4,doubly-linked list
linked list,hard,7,doubly-linked list
sliding window,hard,6,two pointers
linked list,medium,4,doubly-linked list
matrix,medium,5,simulation
linked list,easy,1,doubly-linked list
sliding window,medium,3,two pointers
math,easy,2,number theory
dynamic programming,hard,7,memoization
matrix,easy,1,simulation
binary indexed tree,hard,7,range query
design,medium,5,system design
combinatorics,medium,4,probability
matrix,hard,6,simulation
binary indexed tree,medium,3,range query
probability,easy,1,statistics
stack,medium,3,monotonic stack
math,medium,4,number theory
sliding window,medium,4,two pointers
string matching,medium,4,rolling hash
linked list,hard,7,doubly-linked list
stack,easy,1,monotonic stack
breadth-first search,easy,2,graph theory
math,easy,1,number theory
design,hard,6,system design
design,easy,2,system design
combinatorics,medium,4,probability
string matching,medium,5,rolling hash
design,medium,3,system design
binary tree,easy,2,depth-first search
concurrency,medium,4,design
simulation,easy,2,design
sorting,easy,1,greedy
matrix,easy,1,simulation
binary search,easy,2,graph theory
string,hard,6,sorting
monotonic stack,hard,7,sliding window
tree,medium,4,binary tree
shortest path,easy,1,graph theory
matrix,easy,1,simulation
hash table,easy,1,graph theory
binary search,hard,6,graph theory
sliding window,easy,2,two pointers
graph theory,medium,4,shortest path
linked list,hard,6,doubly-linked list
divide and conquer,hard,7,segment tree
greedy,hard,6,dynamic programming
string matching,medium,5,rolling hash
matrix,medium,4,simulation
binary search,easy,2,graph theory
tree,hard,7,binary tree
matrix,medium,5,simulation
greedy,hard,7,dynamic programming
sliding window,medium,5,two pointers
hash table,hard,6,graph theory
binary indexed tree,hard,7,range query
bitmask,medium,3,backtracking
design,easy,2,system design
greedy,medium,5,dynamic programming
design,hard,6,system design
tree,medium,4,binary tree
monotonic stack,easy,2,sliding window
sorting,hard,6,binary search
two pointers,medium,3,array
divide and conquer,medium,5,segment tree
trie,medium,5,string matching
hash table,hard,6,tree
probability,medium,3,statistics
combinatorics,medium,5,probability
dynamic programming,hard,6,memoization
trie,hard,7,string matching
shortest path,hard,6,graph theory
stack,medium,3,monotonic stack
shortest path,easy,1,graph theory
graph theory,medium,3,minimum spanning tree
math,medium,3,number theory
trie,easy,1,string matching
math,medium,4,number theory
backtracking,medium,4,recursion
dynamic programming,easy,2,bitmask
combinatorics,medium,4,probability
greedy,medium,4,dynamic programming
graph theory,medium,5,minimum spanning tree
matrix,hard,6,simulation
dynamic programming,easy,1,memoization
binary tree,easy,1,depth-first search
recursion,medium,3,divide and conquer
backtracking,medium,5,recursion
recursion,easy,2,divide and conquer
system design,hard,7,concurrency
two pointers,medium,3,array
system design,medium,3,concurrency
rolling hash,medium,5,suffix array
tree,easy,1,graph theory
graph theory,medium,4,shortest path
math,medium,4,number theory
number theory,easy,2,combinatorics
matrix,hard,6,simulation
segment tree,medium,4,binary indexed tree
tree,medium,4,graph theory
concurrency,hard,7,design
matrix,medium,5,simulation
greedy,medium,5,dynamic programming
math,easy,2,number theory
string,hard,6,hash table
design,medium,5,system design
depth-first search,medium,3,breadth-first search
dynamic programming,medium,3,bitmask
sorting,easy,1,greedy
backtracking,easy,1,recursion
stack,hard,7,monotonic stack
bitmask,medium,5,backtracking
binary search,easy,2,graph theory
combinatorics,hard,7,probability
dynamic programming,hard,6,bitmask
graph theory,medium,5,minimum spanning tree
shortest path,easy,2,graph theory
array,medium,4,string
trie,easy,2,string matching
string,easy,1,sorting
matrix,medium,3,simulation
combinatorics,medium,3,probability
backtracking,medium,5,recursion
graph theory,easy,1,minimum spanning tree
concurrency,medium,5,design
string matching,medium,5,rolling hash
two pointers,medium,4,array
shortest path,medium,4,graph theory
binary tree,hard,7,depth-first search
rolling hash,medium,3,suffix array
breadth-first search,easy,1,graph theory
divide and conquer,easy,2,segment tree
sorting,hard,7,binary search
dynamic programming,hard,7,memoization
trie,easy,1,string matching
segment tree,easy,1,binary indexed tree
hash table,hard,6,tree
shortest path,easy,1,graph theory
monotonic stack,hard,6,sliding window
binary search,medium,4,graph theory
greedy,hard,7,dynamic programming
binary search,easy,2,tree
string,hard,7,hash table
number theory,medium,3,combinatorics
graph theory,easy,1,shortest path
design,hard,7,system design
divide and conquer,easy,1,segment tree
array,hard,6,string
matrix,medium,4,simulation
two pointers,hard,6,array
matrix,hard,6,simulation
shortest path,hard,6,graph theory
number theory,hard,6,combinatorics
math,easy,1,number theory
sorting,hard,7,greedy
binary search,medium,5,tree
depth-first search,medium,3,breadth-first search
recursion,easy,1,divide and conquer
binary tree,hard,7,depth-first search
divide and conquer,medium,3,segment tree
depth-first search,medium,5,breadth-first search
dynamic programming,easy,2,bitmask
hash table,medium,4,tree
design,hard,6,system design
simulation,medium,4,design
simulation,medium,3,design
shortest path,medium,4,graph theory
depth-first search,easy,1,breadth-first search
string matching,easy,1,rolling hash
number theory,hard,6,combinatorics
hash table,medium,4,graph theory
array,medium,4,hash table
backtracking,hard,6,recursion
backtracking,medium,4,recursion
probability,easy,1,statistics
depth-first search,easy,1,breadth-first search
depth-first search,medium,5,breadth-first search
graph theory,hard,7,shortest path
shortest path,hard,6,graph theory
rolling hash,medium,3,suffix array
two pointers,medium,5,array
trie,easy,2,string matching
dynamic programming,medium,5,memoization
sliding window,hard,7,two pointers
dynamic programming,easy,2,memoization
greedy,medium,5,dynamic programming
array,medium,5,hash table
dynamic programming,medium,4,memoization
simulation,hard,7,design
design,hard,6,system design
breadth-first search,medium,5,graph theory
concurrency,easy,2,design
monotonic stack,easy,2,sliding window
recursion,hard,6,divide and conquer
number theory,easy,2,combinatorics
graph theory,hard,6,minimum spanning tree
stack,hard,7,monotonic stack
binary tree,medium,3,depth-first search
stack,hard,6,monotonic stack
hash table,medium,4,graph theory
combinatorics,medium,5,probability
tree,easy,2,binary tree
rolling hash,easy,2,suffix array
binary tree,medium,3,depth-first search
binary search,easy,2,graph theory
array,medium,4,hash table
greedy,hard,6,dynamic programming
binary search,hard,6,tree
combinatorics,easy,2,probability
hash table,easy,2,tree
sliding window,hard,7,two pointers
simulation,medium,4,design
system design,easy,1,concurrency
stack,medium,4,monotonic stack
depth-first search,easy,1,breadth-first search
recursion,medium,5,divide and conquer
sorting,medium,4,binary search
breadth-first search,easy,1,graph theory
divide and conquer,medium,4,segment tree
simulation,easy,2,design
combinatorics,hard,6,probability
dynamic programming,medium,5,bitmask
binary search,medium,5,graph theory
math,easy,1,number theory
array,medium,3,hash table
system design,easy,1,concurrency
dynamic programming,hard,6,bitmask
trie,medium,4,string matching
tree,medium,3,binary tree
concurrency,easy,2,design
dynamic programming,easy,2,memoization
recursion,hard,6,divide and conquer
dynamic programming,hard,6,bitmask
matrix,medium,4,simulation
linked list,medium,4,doubly-linked list
breadth-first search,easy,1,graph theory
stack,hard,6,monotonic stack
dynamic programming,medium,3,memoization
number theory,medium,5,combinatorics
two pointers,medium,5,array
array,medium,5,string
sliding window,easy,2,two pointers
probability,easy,2,statistics
number theory,medium,3,combinatorics
simulation,hard,7,design
string,hard,6,sorting
rolling hash,medium,4,suffix array
array,medium,3,string
array,medium,5,hash table
depth-first search,medium,4,breadth-first search
linked list,hard,7,doubly-linked list
rolling hash,medium,4,suffix array
breadth-first search,medium,5,graph theory
string,medium,3,hash table
trie,medium,5,string matching
binary indexed tree,medium,5,range query
stack,medium,5,monotonic stack
binary search,hard,7,tree
two pointers,hard,7,array
recursion,medium,3,divide and conquer
backtracking,hard,6,recursion
dynamic programming,medium,3,bitmask
matrix,medium,5,simulation
backtracking,easy,1,recursion
math,medium,3,number theory
monotonic stack,easy,2,sliding window
backtracking,easy,1,recursion
breadth-first search,medium,5,graph theory
breadth-first search,hard,7,graph theory
shortest path,medium,4,graph theory
rolling hash,medium,4,suffix array
graph theory,medium,4,shortest path
array,medium,5,hash table
sorting,medium,3,greedy
stack,easy,2,monotonic stack
math,easy,1,number theory
array,easy,2,string
system design,medium,3,concurrency
linked list,easy,2,doubly-linked list
combinatorics,easy,2,probability
depth-first search,medium,5,breadth-first search
monotonic stack,hard,7,sliding window
monotonic stack,medium,3,sliding window
segment tree,medium,4,binary indexed tree
probability,hard,7,statistics
concurrency,medium,5,design
greedy,hard,7,dynamic programming
recursion,hard,7,divide and conquer
monotonic stack,easy,2,sliding window
depth-first search,easy,1,breadth-first search
greedy,medium,5,dynamic programming
stack,easy,2,monotonic stack
sorting,medium,5,binary search
string matching,easy,2,rolling hash
matrix,hard,7,simulation
linked list,hard,7,doubly-linked list
tree,medium,5,graph theory
concurrency,medium,4,design
binary search,easy,1,tree
shortest path,hard,7,graph theory
depth-first search,medium,3,breadth-first search
bitmask,hard,7,backtracking
breadth-first search,easy,2,graph theory
depth-first search,hard,6,breadth-first search
binary tree,medium,5,depth-first search
shortest path,medium,4,graph theory
combinatorics,medium,5,probability
tree,hard,6,binary tree
system design,medium,5,concurrency
math,medium,4,number theory
hash table,easy,1,tree
shortest path,easy,2,graph theory
depth-first search,easy,2,breadth-first search
tree,medium,4,graph theory
divide and conquer,medium,4,segment tree
number theory,hard,6,combinatorics
dynamic programming,easy,2,memoization
number theory,hard,6,combinatorics
math,hard,7,number theory
shortest path,medium,4,graph theory
hash table,medium,5,graph theory
probability,hard,6,statistics
binary tree,medium,5,depth-first search
depth-first search,easy,2,breadth-first search
greedy,hard,7,dynamic programming
shortest path,easy,2,graph theory
concurrency,medium,4,design
array,medium,4,string
hash table,medium,5,tree
monotonic stack,medium,3,sliding window
dynamic programming,medium,5,bitmask
math,hard,7,number theory
linked list,medium,3,doubly-linked list
divide and conquer,medium,4,segment tree
linked list,hard,6,doubly-linked list
hash table,medium,3,tree
divide and conquer,medium,3,segment tree
sliding window,easy,1,two pointers
recursion,hard,6,divide and conquer
graph theory,hard,6,shortest path
backtracking,medium,4,recursion
segment tree,medium,3,binary indexed tree
number theory,hard,6,combinatorics
two pointers,medium,5,array
sorting,easy,1,greedy
combinatorics,easy,1,probability
number theory,hard,6,combinatorics
rolling hash,medium,3,suffix array
hash table,hard,6,graph theory
sorting,medium,3,greedy
binary tree,easy,2,depth-first search
binary tree,easy,1,depth-first search
depth-first search,medium,5,breadth-first search
system design,easy,1,concurrency
graph theory,medium,3,minimum spanning tree
sorting,easy,2,binary search
depth-first search,medium,4,breadth-first search
sliding window,hard,6,two pointers
sliding window,hard,7,two pointers
number theory,medium,5,combinatorics
two pointers,easy,1,array
backtracking,easy,2,recursion
probability,medium,4,statistics
stack,medium,5,monotonic stack
greedy,medium,5,dynamic programming
binary tree,medium,5,depth-first search
segment tree,easy,1,binary indexed tree
combinatorics,hard,6,probability
backtracking,easy,1,recursion
rolling hash,hard,7,suffix array
design,medium,3,system design
system design,hard,6,concurrency
breadth-first search,medium,5,graph theory
linked list,easy,2,doubly-linked list
linked list,easy,2,doubly-linked list
binary indexed tree,medium,4,range query
hash table,easy,1,tree
greedy,easy,2,dynamic programming
system design,medium,5,concurrency
shortest path,medium,3,graph theory
string,hard,6,hash table
stack,medium,5,monotonic stack
hash table,medium,5,tree
linked list,easy,1,doubly-linked list
string,hard,7,hash table
binary indexed tree,medium,3,range query
greedy,hard,7,dynamic programming
recursion,hard,7,divide and conquer
binary search,hard,7,graph theory
hash table,hard,6,tree
combinatorics,medium,4,probability
rolling hash,easy,1,suffix array
backtracking,medium,4,recursion
sliding window,medium,5,two pointers
simulation,easy,2,design
system design,medium,5,concurrency
graph theory,easy,1,minimum spanning tree
binary indexed tree,medium,5,range query
two pointers,medium,5,array
shortest path,medium,5,graph theory
binary indexed tree,easy,2,range query
stack,easy,1,monotonic stack
linked list,medium,3,doubly-linked list
trie,easy,1,string matching
hash table,easy,1,graph theory
stack,easy,2,monotonic stack
string matching,medium,5,rolling hash
greedy,easy,2,dynamic programming
array,easy,2,hash table
rolling hash,medium,4,suffix array
array,hard,6,string
divide and conquer,hard,7,segment tree
backtracking,medium,4,recursion
breadth-first search,easy,1,graph theory
tree,easy,2,binary tree
linked list,hard,7,doubly-linked list
number theory,easy,2,combinatorics
backtracking,easy,1,recursion
linked list,medium,5,doubly-linked list
system design,medium,5,concurrency
dynamic programming,medium,3,bitmask
graph theory,hard,6,minimum spanning tree
breadth-first search,medium,5,graph theory
system design,medium,4,concurrency
recursion,medium,4,divide and conquer
simulation,hard,6,design
binary tree,medium,3,depth-first search
hash table,medium,3,tree
system design,medium,5,concurrency
graph theory,hard,6,minimum spanning tree
binary indexed tree,easy,1,range query
probability,medium,4,statistics
sorting,medium,5,greedy
binary search,easy,2,tree
bitmask,medium,5,backtracking
probability,hard,7,statistics
rolling hash,hard,7,suffix array
string matching,easy,2,rolling hash
sliding window,easy,2,two pointers
simulation,hard,7,design
segment tree,easy,1,binary indexed tree
depth-first search,medium,4,breadth-first search
tree,easy,1,binary tree
array,hard,7,string
sliding window,easy,2,two pointers
divide and conquer,hard,7,segment tree
greedy,hard,7,dynamic programming
hash table,easy,1,graph theory
breadth-first search,easy,2,graph theory
breadth-first search,easy,2,graph theory
linked list,medium,5,doubly-linked list
two pointers,medium,3,array
hash table,medium,5,tree
binary indexed tree,medium,4,range query
binary indexed tree,hard,6,range query
hash table,hard,7,tree
binary indexed tree,easy,1,range query
concurrency,medium,5,design
two pointers,medium,5,array
linked list,easy,2,doubly-linked list
array,medium,4,string
string matching,medium,3,rolling hash
binary indexed tree,hard,7,range query
depth-first search,hard,7,breadth-first search
simulation,hard,7,design
tree,medium,3,binary tree
design,easy,2,system design
binary indexed tree,hard,6,range query
stack,hard,6,monotonic stack
number theory,easy,2,combinatorics
probability,hard,6,statistics
binary tree,medium,5,depth-first search
concurrency,medium,5,design
matrix,medium,3,simulation
rolling hash,medium,5,suffix array
number theory,medium,4,combinatorics
probability,hard,6,statistics
dynamic programming,medium,3,bitmask
combinatorics,hard,7,probability
segment tree,medium,5,binary indexed tree
divide and conquer,hard,7,segment tree
recursion,hard,6,divide and conquer
rolling hash,easy,1,suffix array
